image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
542,17,17,17,1.0,1.0,1.0,1.0,15,15,10,0.6667,0.6667,0.6667,0.5,32,32,27,0.8438,0.8438,0.8438,0.7297
548,17,17,13,0.7647,0.7647,0.7647,0.619,16,16,10,0.625,0.625,0.625,0.4545,33,33,23,0.697,0.697,0.697,0.5349
556,11,11,10,0.9091,0.9091,0.9091,0.8333,7,7,4,0.5714,0.5714,0.5714,0.4,18,18,14,0.7778,0.7778,0.7778,0.6364
562,23,23,21,0.913,0.913,0.913,0.84,19,19,11,0.5789,0.5789,0.5789,0.4074,42,42,32,0.7619,0.7619,0.7619,0.6154
563,20,20,13,0.65,0.65,0.65,0.4815,18,18,12,0.6667,0.6667,0.6667,0.5,38,38,25,0.6579,0.6579,0.6579,0.4902
576,33,33,31,0.9394,0.9394,0.9394,0.8857,24,24,16,0.6667,0.6667,0.6667,0.5,57,57,47,0.8246,0.8246,0.8246,0.7015
577,23,23,23,1.0,1.0,1.0,1.0,19,19,12,0.6316,0.6316,0.6316,0.4615,42,42,35,0.8333,0.8333,0.8333,0.7143
580,20,20,13,0.65,0.65,0.65,0.4815,18,18,12,0.6667,0.6667,0.6667,0.5,38,38,25,0.6579,0.6579,0.6579,0.4902
589,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
591,23,23,20,0.8696,0.8696,0.8696,0.7692,19,19,12,0.6316,0.6316,0.6316,0.4615,42,42,32,0.7619,0.7619,0.7619,0.6154
598,23,22,14,0.6364,0.6087,0.6222,0.4516,15,17,7,0.4118,0.4667,0.4375,0.28,38,39,21,0.5385,0.5526,0.5455,0.375
605,24,26,18,0.6923,0.75,0.72,0.5625,21,24,9,0.375,0.4286,0.4,0.25,45,50,27,0.54,0.6,0.5684,0.3971
607,17,17,13,0.7647,0.7647,0.7647,0.619,16,16,8,0.5,0.5,0.5,0.3333,33,33,21,0.6364,0.6364,0.6364,0.4667
620,27,27,22,0.8148,0.8148,0.8148,0.6875,26,26,16,0.6154,0.6154,0.6154,0.4444,53,53,38,0.717,0.717,0.717,0.5588
624,28,15,1,0.0667,0.0357,0.0465,0.0238,11,10,0,0.0,0.0,0,0.0,39,25,1,0.04,0.0256,0.0312,0.0159
